Predictors,,Estimates,CI,p,Estimates,CI,p,Estimates,CI,p,Estimates,CI,p,Estimates,CI,p,Estimates,CI,p,Estimates,CI,p
,(Intercept),,,,,,,,,,,,,,,,,,,,,
,wmc,,,,,,,,,,,,,,,,,,,,,
,Melody 34,,,,,,,,,,,,,,,,,,,,,
,Melody 9,,,,,,,,,,,,,,,,,,,,,
,Melody 95,,,,,,,,,,,,,,,,,,,,,
,Tonal Category (Low),,,,,,,,,,,,,,,,,,,,,
,Density Category (Low),,,,,,,,,,,,,,,,,,,,,
,Tonal*Density Category,,,,,,,,,,,,,,,,,,,,,
,Tonalness Continuous,,,,,,,,,,,,,,,,,,,,,
,Note Density Continuous,,,,,,,,,,,,,,,,,,,,,
,Tonal*Density Continuous,,,,,,,,,,,,,,,,,,,,,
,Interval Entropy,,,,,,,,,,,,,,,,,,,,,
Random Effects,,,,,,,,,,,,,,,,,,,,,,
σ2,,,,,,,,,,,,,,,,,,,,,,
τ00,,,,,,,,,,,,,,,,,,,,,,
τ11,,,,,,,,,,,,,,,,,,,,,,
ρ01,,,,,,,,,,,,,,,,,,,,,,
ICC,,,,,,,,,,,,,,,,,,,,,,
Observations,,,,,,,,,,,,,,,,,,,,,,
Marginal R2,,,,,,,,,,,,,,,,,,,,,,
Conditional R2,,,,,,,,,,,,,,,,,,,,,,
