Signature: 1/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;59;0,4990;479;4;0;0;0;0;0;0
0,5000;480;2;1;0;57;0,7490;719;6;1;1;1;1;0;0
1,2500;1200;3;1;240;54;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;4;1;0;59;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;5;1;0;57;0,7490;719;6;1;0;1;0;0;0
2,7500;2640;6;1;240;54;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;7;1;0;57;0,3740;359;3;1;1;1;0;0;0
3,3750;3240;7;1;360;54;0,1240;119;1;0;0;0;0;0;0
3,5000;3360;8;1;0;54;0,7490;719;6;1;0;1;1;0;0
4,2500;4080;9;1;240;54;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;10;1;0;52;0,4990;479;4;0;0;0;0;1;0
5,0000;4800;11;1;0;52;0,7490;719;6;1;1;1;0;0;0
5,7500;5520;12;1;240;50;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;13;1;0;50;0,3740;359;3;1;0;1;0;0;0
6,3750;6120;13;1;360;47;0,1240;119;1;0;0;0;0;0;0
6,5000;6240;14;1;0;50;0,4990;479;4;0;0;1;0;0;0
7,0000;6720;15;1;0;47;0,4990;479;4;0;0;0;0;0;0
7,5000;7200;16;1;0;45;0,4990;479;4;0;0;1;1;0;0
8,0000;7680;17;1;0;54;0,3740;359;3;1;0;0;0;0;0
8,3750;8040;17;1;360;54;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;18;1;0;52;0,4990;479;4;0;0;0;0;1;0
9,0000;8640;19;1;0;50;0,4990;479;4;0;0;1;0;0;0
9,5000;9120;20;1;0;54;0,3740;359;3;0;0;0;0;0;0
9,8750;9480;20;1;360;54;0,1240;119;1;1;1;1;0;0;0
10,0000;9600;21;1;0;52;0,4990;479;4;0;0;0;0;0;0
10,5000;10080;22;1;0;52;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;23;1;0;50;0,3740;359;3;1;0;1;0;0;0
11,3750;10920;23;1;360;47;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;24;1;0;50;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;25;1;0;47;0,4990;479;4;0;0;1;1;1;0
12,5000;12000;26;1;0;52;0,3740;359;3;0;0;0;0;0;0
12,8750;12360;26;1;360;52;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;27;1;0;52;0,4990;479;4;0;0;0;0;0;0
13,5000;12960;28;1;0;52;0,3740;359;3;1;1;1;0;0;0
13,8750;13320;28;1;360;50;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;29;1;0;47;0,4990;479;4;1;1;1;1;0;0
14,5000;13920;30;1;0;50;0,3740;359;3;0;0;0;0;0;0
14,8750;14280;30;1;360;50;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;31;1;0;50;1,4990;1439;12;1;1;1;1;1;1
