Signature: 4/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,2365;227;1;0;0;0;0;0;0
0,2500;240;1;1;240;69;0,2365;227;1;0;0;0;0;0;0
0,5000;480;1;2;0;72;0,4740;455;2;0;0;0;0;0;0
1,0000;960;1;3;0;76;0,4740;455;2;1;1;1;1;0;0
1,7500;1680;1;4;240;67;0,2365;227;1;0;0;0;0;0;0
2,0000;1920;2;1;0;69;0,2365;227;1;0;0;0;0;0;0
2,2500;2160;2;1;240;72;0,2365;227;1;0;0;0;0;0;0
2,5000;2400;2;2;0;74;0,7115;683;3;1;0;1;0;1;0
3,2500;3120;2;3;240;76;0,2365;227;1;0;0;0;0;0;0
3,5000;3360;2;4;0;72;0,2365;227;1;0;0;0;0;0;0
3,7500;3600;2;4;240;74;0,2365;227;1;0;0;0;0;0;0
4,0000;3840;3;1;0;76;0,2365;227;1;0;0;0;0;0;0
4,2500;4080;3;1;240;77;0,2365;227;1;0;0;0;0;0;0
4,5000;4320;3;2;0;79;0,4740;455;2;1;0;1;0;0;0
5,0000;4800;3;3;0;81;0,2365;227;1;0;0;0;0;0;0
5,2500;5040;3;3;240;79;0,2365;227;1;0;0;0;0;0;0
5,5000;5280;3;4;0;76;0,4740;455;2;1;1;1;0;0;0
6,0000;5760;4;1;0;78;0,2365;227;1;0;0;0;0;0;0
6,2500;6000;4;1;240;76;0,2365;227;1;0;0;0;0;0;0
6,5000;6240;4;2;0;69;0,7115;683;3;1;1;1;1;1;0
7,2500;6960;4;3;240;71;0,2365;227;1;0;0;0;0;0;0
7,5000;7200;4;4;0;69;0,4740;455;2;1;0;1;0;0;0
8,0000;7680;5;1;0;67;0,2365;227;1;0;0;0;0;0;0
8,2500;7920;5;1;240;69;0,2365;227;1;0;0;0;0;0;0
8,5000;8160;5;2;0;72;0,4740;455;2;0;0;0;0;0;0
9,0000;8640;5;3;0;76;0,4740;455;2;1;1;1;1;1;0
9,7500;9360;5;4;240;67;0,2365;227;1;0;0;0;0;0;0
10,0000;9600;6;1;0;69;0,2365;227;1;0;0;0;0;0;0
10,2500;9840;6;1;240;72;0,2365;227;1;0;0;0;0;0;0
10,5000;10080;6;2;0;74;0,7115;683;3;1;1;1;0;0;0
11,2500;10800;6;3;240;83;0,2365;227;1;0;0;0;0;0;0
11,5000;11040;6;4;0;81;0,2365;227;1;0;0;0;0;0;0
11,7500;11280;6;4;240;76;0,2365;227;1;0;0;1;0;0;0
12,0000;11520;7;1;0;72;0,2365;227;1;0;0;0;0;0;0
12,2500;11760;7;1;240;71;0,2365;227;1;0;0;0;0;0;0
12,5000;12000;7;2;0;69;0,4740;455;2;1;0;1;0;1;0
13,0000;12480;7;3;0;67;0,2365;227;1;0;0;0;0;0;0
13,2500;12720;7;3;240;69;0,2365;227;1;0;0;0;0;0;0
13,5000;12960;7;4;0;71;0,4740;455;2;1;0;1;0;0;0
14,0000;13440;8;1;0;74;0,2365;227;1;0;0;0;0;0;0
14,2500;13680;8;1;240;71;0,2365;227;1;0;0;0;0;0;0
14,5000;13920;8;2;0;69;0,4740;455;2;1;1;1;1;0;0
15,0000;14400;8;3;0;64;0,2365;227;1;0;0;0;0;0;0
15,2500;14640;8;3;240;65;0,2365;227;1;0;0;1;0;0;0
15,5000;14880;8;4;0;57;0,9490;911;4;1;1;1;1;1;1
